path,true,mode,pred,left_prob,right_prob,correct
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000001.jpg,left,original,left,1.0,1.6167042747941562e-13,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000001.jpg,left,finger_side,left,0.9999198913574219,8.005990093806759e-05,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000001.jpg,left,cuff_side,left,1.0,7.388813519360049e-12,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000001.jpg,left,centre,left,0.9999995231628418,4.310897736559127e-07,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000001.jpg,left,top_background,left,1.0,1.4191967913357306e-13,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000001.jpg,left,bottom_background,left,1.0,2.042879483198784e-13,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000005.jpg,left,original,left,1.0,1.8261061066060513e-12,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000005.jpg,left,finger_side,left,0.9993683695793152,0.0006316400249488652,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000005.jpg,left,cuff_side,left,1.0,7.14424630565702e-10,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000005.jpg,left,centre,left,0.999994158744812,5.891314231121214e-06,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000005.jpg,left,top_background,left,1.0,1.5133262481689669e-12,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000005.jpg,left,bottom_background,left,1.0,1.945378103399009e-12,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000007.jpg,left,original,left,1.0,1.9996457822912816e-08,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000007.jpg,left,finger_side,left,0.9999855756759644,1.4401348380488344e-05,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000007.jpg,left,cuff_side,left,1.0,2.466479287477341e-08,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000007.jpg,left,centre,left,0.9999973773956299,2.633993517520139e-06,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000007.jpg,left,top_background,left,1.0,1.975176999735595e-08,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000007.jpg,left,bottom_background,left,1.0,1.9996457822912816e-08,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000008.jpg,left,original,left,1.0,1.0720385760750253e-13,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000008.jpg,left,finger_side,left,0.9998772144317627,0.0001227331958943978,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000008.jpg,left,cuff_side,left,1.0,6.033321398035696e-09,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000008.jpg,left,centre,left,0.9999994039535522,5.522372248378815e-07,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000008.jpg,left,top_background,left,1.0,1.0403642194695834e-13,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000008.jpg,left,bottom_background,left,1.0,1.9939153884300335e-14,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000009.jpg,left,original,left,0.9999978542327881,2.1223804651526734e-06,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000009.jpg,left,finger_side,left,0.9999938011169434,6.220406703505432e-06,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000009.jpg,left,cuff_side,left,0.9996912479400635,0.00030879114638082683,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000009.jpg,left,centre,left,0.9999972581863403,2.761715222732164e-06,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000009.jpg,left,top_background,left,0.9999978542327881,2.1223804651526734e-06,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000009.jpg,left,bottom_background,left,0.9999978542327881,2.1223804651526734e-06,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000010.jpg,left,original,left,1.0,3.0448557564177747e-10,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000010.jpg,left,finger_side,left,0.9986045956611633,0.0013954578898847103,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000010.jpg,left,cuff_side,left,1.0,1.9328401726359523e-12,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000010.jpg,left,centre,left,0.9999995231628418,5.147550723449967e-07,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000010.jpg,left,top_background,left,1.0,2.9718211225215896e-10,True
D:\GRIP_Dataset\New_model\Chirality_Crops\aug27_final_v2_bbox\val\left\12-43-09\images\left\left__GRIP_2026-08-27_12-43-09__e000010.jpg,left,bottom_background,left,1.0,3.3015368217093055e-10,True
