epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3382,0.42159,0.86134,0.5523,0.85056,0,0.97202,0.88421,0.91304,0.86028,0.9836,0.89474,0.92643,0.87568,0.38451,0.52533,0.56406,0.80852,0,0.00065625,0.00065625,0.00065625
2,93.9745,0.49991,0.67986,0.53767,0.87125,0,0.96489,0.8679,0.93963,0.84015,0.94499,0.90407,0.94622,0.8676,0.45818,0.53148,0.52087,0.84451,0,0.00130982,0.00130982,0.00130982
3,135.542,0.53319,0.75522,0.54642,0.87956,0,0.98817,0.87935,0.92341,0.8307,0.97572,0.90526,0.93848,0.85811,0.46453,0.53804,0.52513,0.86018,0,0.00195019,0.00195019,0.00195019
4,193.832,0.5448,0.77858,0.53803,0.88851,0,0.98508,0.86316,0.92105,0.82063,0.97536,0.89474,0.94666,0.86875,0.50797,0.55312,0.51616,0.8496,0,0.0019406,0.0019406,0.0019406
5,250.255,0.52688,0.67628,0.49788,0.87112,0,0.97313,0.86316,0.9244,0.82924,0.96527,0.87775,0.93834,0.85825,0.47109,0.54777,0.51585,0.85475,0,0.0019208,0.0019208,0.0019208
6,311.037,0.52063,0.69593,0.48777,0.86859,0,0.92855,0.89474,0.9156,0.84407,0.95479,0.91579,0.93299,0.85298,0.46794,0.51251,0.50412,0.86236,0,0.001901,0.001901,0.001901
7,370.719,0.49777,0.664,0.46607,0.86947,0,0.95913,0.87368,0.92995,0.83653,0.9487,0.90526,0.9506,0.87165,0.48284,0.53581,0.44269,0.84986,0,0.0018812,0.0018812,0.0018812
8,423.172,0.50569,0.64633,0.45534,0.85506,0,0.93401,0.89392,0.92936,0.85039,0.96654,0.91234,0.94255,0.87392,0.45581,0.51238,0.46629,0.84372,0,0.0018614,0.0018614,0.0018614
9,477.432,0.50983,0.57183,0.44628,0.86596,0,0.98769,0.85263,0.92539,0.8466,0.97353,0.91579,0.95978,0.87697,0.42543,0.53013,0.42513,0.83244,0,0.0018416,0.0018416,0.0018416
10,532.571,0.46189,0.61225,0.41095,0.8494,0,0.99937,0.86316,0.94612,0.8538,0.99937,0.86316,0.95889,0.91102,0.45374,0.52939,0.42133,0.83995,0,0.0018218,0.0018218,0.0018218
